"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","79,622,525","±38,515","3,971,434","±36,997","(X)","(X)","50","±1","30.1%","±0.5"
"    15 to 19 years","10,945,936","±30,482","79,108","±5,120","2.0%","±0.1","7","±1","84.8%","±2.9"
"    20 to 34 years","33,684,475","±28,735","2,662,495","±31,173","67.0%","±0.4","79","±1","32.6%","±0.6"
"    35 to 50 years","34,992,114","±30,949","1,229,831","±18,103","31.0%","±0.4","35","±1","21.2%","±0.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","68,453,696","±70,753","3,427,781","±34,421","86.3%","±0.3","50","±1","29.1%","±0.5"
"            White","44,222,640","±48,137","2,213,258","±26,004","55.7%","±0.5","50","±1","21.9%","±0.5"
"            Black or African American","10,550,347","±39,501","526,632","±18,899","13.3%","±0.4","50","±2","58.8%","±1.6"
"            American Indian and Alaska Native","898,164","±18,340","47,647","±4,265","1.2%","±0.1","53","±5","48.6%","±4.1"
"            Asian","5,880,962","±19,730","273,174","±8,678","6.9%","±0.2","46","±1","10.8%","±1.2"
"            Native Hawaiian and Other Pacific Islander","179,503","±6,321","10,353","±2,356","0.3%","±0.1","58","±13","44.6%","±11.9"
"            Some other race","6,722,080","±52,339","356,717","±10,773","9.0%","±0.3","53","±2","41.0%","±1.5"
"        Two or more races","11,168,829","±63,011","543,653","±14,634","13.7%","±0.3","49","±1","36.5%","±1.4"
"        Hispanic or Latino origin (of any race)","17,863,987","±19,083","944,117","±18,986","23.8%","±0.4","53","±1","40.0%","±1.0"
"        White alone, not Hispanic or Latino","40,871,699","±26,373","2,023,206","±23,921","50.9%","±0.5","50","±1","20.1%","±0.5"
"    NATIVITY","","","","","","","","","",""
"        Native","66,210,310","±73,671","3,170,208","±35,117","79.8%","±0.5","48","±1","31.9%","±0.6"
"        Foreign born","13,412,215","±63,659","801,226","±19,651","20.2%","±0.5","60","±1","23.2%","±1.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Less than high school graduate","12,201,282","±60,989","370,106","±13,635","9.3%","±0.3","30","±1","48.8%","±1.5"
"        High school graduate (includes equivalency)","16,871,387","±90,639","929,796","±20,385","23.4%","±0.5","55","±1","48.8%","±1.2"
"        Some college or associate's degree","22,009,356","±93,771","1,072,176","±20,352","27.0%","±0.4","49","±1","36.1%","±0.8"
"        Bachelor's degree","17,895,986","±88,153","976,698","±18,896","24.6%","±0.4","55","±1","12.7%","±0.7"
"        Graduate or professional degree","10,644,514","±68,661","622,658","±16,757","15.7%","±0.4","58","±1","8.1%","±0.8"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","77,700,991","±44,884","3,963,175","±36,999","(X)","(X)","51","±1","30.0%","±0.5"
"        Below 100 percent of poverty level","10,681,857","±82,324","735,081","±19,250","18.5%","±0.4","69","±2","66.7%","±1.2"
"        100 to 199 percent of poverty level","12,035,725","±76,255","699,188","±18,440","17.6%","±0.4","58","±2","39.3%","±1.3"
"        200 percent or more above poverty level","54,983,409","±129,139","2,528,906","±28,154","63.8%","±0.5","46","±1","16.8%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","77,509,623","±47,582","3,967,633","±37,020","(X)","(X)","51","±1","30.0%","±0.5"
"        In labor force","58,565,324","±93,297","2,712,892","±29,086","68.4%","±0.5","46","±1","30.1%","±0.7"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","79,622,525","±38,515","3,971,434","±36,997","(X)","(X)","50","±1","30.1%","±0.5"
"        Received public assistance income","1,454,648","±27,049","136,454","±8,187","3.4%","±0.2","94","±5","64.8%","±2.7"
"        Did not receive public assistance income","78,167,877","±46,372","3,834,980","±36,537","96.6%","±0.2","49","±1","28.9%","±0.5"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Marital status","9.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","13.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
