"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months !!Number!!Estimate","United States!!Women with births in the past 12 months !!Number!!Margin of Error","United States!!Women with births in the past 12 months !!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","76,187,270","±33,162","4,125,353","±34,597","(X)","(X)","54","±1","36.0%","±0.4"
"15 to 19 years","10,504,417","±25,569","224,867","±7,746","5.5%","±0.2","21","±1","85.6%","±1.2"
"20 to 34 years","31,853,305","±21,006","3,023,693","±30,912","73.3%","±0.4","95","±1","36.8%","±0.5"
"35 to 50 years","33,829,548","±28,863","876,793","±14,728","21.3%","±0.3","26","±1","20.3%","±0.7"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"    One race","74,092,778","±40,366","4,012,633","±33,956","97.3%","±0.1","54","±1","35.7%","±0.4"
"        White","53,990,506","±47,910","2,812,286","±26,094","68.2%","±0.4","52","±1","29.7%","±0.4"
"        Black or African American","10,704,263","±24,058","612,819","±14,077","14.9%","±0.3","57","±1","67.3%","±0.9"
"        American Indian and Alaska Native","662,889","±9,581","43,599","±2,451","1.1%","±0.1","66","±4","58.4%","±3.4"
"        Asian","4,544,112","±15,964","259,018","±8,987","6.3%","±0.2","57","±2","11.7%","±1.0"
"        Native Hawaiian and Other Pacific Islander","153,665","±5,327","12,107","±2,070","0.3%","±0.1","79","±13","36.6%","±9.2"
"        Some other race","4,037,343","±40,302","272,804","±8,651","6.6%","±0.2","68","±2","46.2%","±1.5"
"    Two or more races","2,094,492","±27,111","112,720","±5,179","2.7%","±0.1","54","±2","44.6%","±2.5"
"Hispanic or Latino origin (of any race)","14,102,302","±13,446","931,798","±15,379","22.6%","±0.3","66","±1","43.0%","±0.9"
"White alone, not Hispanic or Latino","44,790,429","±19,435","2,206,855","±22,673","53.5%","±0.4","49","±1","26.8%","±0.4"
"NATIVITY","","","","","","","","","",""
"    Native","63,536,562","±56,445","3,266,229","±30,573","79.2%","±0.3","51","±1","39.2%","±0.4"
"    Foreign born","12,650,708","±46,698","859,124","±15,633","20.8%","±0.3","68","±1","23.8%","±0.7"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Less than high school graduate","13,559,177","±50,560","634,956","±15,781","15.4%","±0.4","47","±1","56.1%","±1.0"
"    High school graduate (includes equivalency)","16,491,867","±62,775","951,327","±19,313","23.1%","±0.4","58","±1","49.7%","±0.8"
"    Some college or associate's degree","25,635,902","±76,836","1,322,329","±18,531","32.1%","±0.3","52","±1","40.5%","±0.7"
"    Bachelor's degree","13,863,148","±57,137","778,838","±14,858","18.9%","±0.3","56","±1","11.8%","±0.7"
"    Graduate or professional degree","6,637,176","±42,371","437,903","±11,030","10.6%","±0.3","66","±2","6.4%","±0.6"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","74,504,104","±35,199","4,112,895","±34,722","(X)","(X)","55","±1","35.8%","±0.4"
"    Below 100 percent of poverty level","14,048,306","±73,226","1,147,296","±18,656","27.9%","±0.4","82","±1","66.1%","±0.7"
"    100 to 199 percent of poverty level","14,250,924","±67,769","895,366","±13,902","21.8%","±0.3","63","±1","38.5%","±0.8"
"    200 percent or more above poverty level","46,204,874","±95,274","2,070,233","±24,818","50.3%","±0.4","45","±1","17.9%","±0.4"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","74,166,059","±35,918","4,114,948","±34,436","(X)","(X)","55","±1","35.8%","±0.4"
"    In labor force","53,117,217","±62,718","2,554,489","±27,138","62.1%","±0.4","48","±1","36.9%","±0.4"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","76,187,270","±33,162","4,125,353","±34,597","(X)","(X)","54","±1","36.0%","±0.4"
"    Received public assistance income","1,996,163","±25,042","263,254","±8,896","6.4%","±0.2","132","±4","69.1%","±1.7"
"    Did not receive public assistance income","74,191,107","±40,237","3,862,099","±34,143","93.6%","±0.2","52","±1","33.7%","±0.4"
"PERCENT IMPUTED","","","","","","","","","",""
"    Marital status","3.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","4.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
