"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months !!Number!!Estimate","United States!!Women with births in the past 12 months !!Number!!Margin of Error","United States!!Women with births in the past 12 months !!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","76,202,126","±37,542","4,113,472","±38,124","(X)","(X)","54","±1","35.7%","±0.5"
"15 to 19 years","10,601,506","±26,416","251,460","±9,487","6.1%","±0.2","24","±1","86.1%","±1.2"
"20 to 34 years","31,432,625","±21,825","2,998,484","±30,694","72.9%","±0.4","95","±1","36.2%","±0.6"
"35 to 50 years","34,167,995","±33,023","863,528","±16,672","21.0%","±0.3","25","±1","19.3%","±0.8"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"    One race","74,208,001","±50,071","4,000,841","±38,117","97.3%","±0.1","54","±1","35.4%","±0.5"
"        White","54,223,002","±47,206","2,812,958","±34,049","68.4%","±0.4","52","±1","29.2%","±0.5"
"        Black or African American","10,678,168","±25,406","595,983","±12,796","14.5%","±0.3","56","±1","67.8%","±1.2"
"        American Indian and Alaska Native","677,896","±12,806","46,902","±3,503","1.1%","±0.1","69","±5","64.0%","±3.5"
"        Asian","4,385,642","±17,554","243,814","±8,865","5.9%","±0.2","56","±2","11.3%","±1.2"
"        Native Hawaiian and Other Pacific Islander","142,798","±6,218","11,602","±2,090","0.3%","±0.1","81","±15","40.5%","±9.6"
"        Some other race","4,100,495","±36,607","289,582","±11,027","7.0%","±0.3","71","±3","44.9%","±1.9"
"    Two or more races","1,994,125","±31,526","112,631","±5,777","2.7%","±0.1","56","±3","44.6%","±2.7"
"Hispanic or Latino origin (of any race)","13,881,646","±17,082","944,717","±21,698","23.0%","±0.4","68","±2","43.0%","±1.1"
"White alone, not Hispanic or Latino","45,267,948","±24,900","2,209,244","±29,691","53.7%","±0.5","49","±1","26.0%","±0.6"
"NATIVITY","","","","","","","","","",""
"    Native","63,627,514","±55,698","3,264,025","±33,520","79.3%","±0.4","51","±1","38.8%","±0.5"
"    Foreign born","12,574,612","±56,776","849,447","±18,706","20.7%","±0.4","68","±1","23.6%","±0.9"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Less than high school graduate","13,901,916","±61,451","675,127","±16,572","16.4%","±0.3","49","±1","57.0%","±1.1"
"    High school graduate (includes equivalency)","16,865,983","±67,819","941,463","±16,769","22.9%","±0.4","56","±1","49.0%","±1.0"
"    Some college or associate's degree","25,459,096","±76,800","1,295,505","±21,041","31.5%","±0.4","51","±1","39.8%","±0.7"
"    Bachelor's degree","13,624,329","±76,285","772,226","±17,401","18.8%","±0.4","57","±1","10.4%","±0.6"
"    Graduate or professional degree","6,350,802","±43,958","429,151","±10,319","10.4%","±0.3","68","±2","6.0%","±0.7"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","74,535,425","±38,960","4,098,788","±38,102","(X)","(X)","55","±1","35.5%","±0.5"
"    Below 100 percent of poverty level","14,079,035","±71,792","1,134,073","±19,197","27.7%","±0.4","81","±1","64.6%","±1.0"
"    100 to 199 percent of poverty level","14,203,245","±77,538","875,278","±17,718","21.4%","±0.3","62","±1","40.7%","±1.1"
"    200 percent or more above poverty level","46,253,145","±102,328","2,089,437","±26,749","51.0%","±0.5","45","±1","17.6%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","74,158,070","±40,404","4,102,109","±38,029","(X)","(X)","55","±1","35.5%","±0.5"
"    In labor force","53,010,321","±80,844","2,546,812","±28,174","62.1%","±0.4","48","±1","36.0%","±0.6"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","76,202,126","±37,542","4,113,472","±38,124","(X)","(X)","54","±1","35.7%","±0.5"
"    Received public assistance income","2,001,253","±24,296","256,702","±9,003","6.2%","±0.2","128","±4","71.3%","±1.7"
"    Did not receive public assistance income","74,200,873","±40,841","3,856,770","±36,830","93.8%","±0.2","52","±1","33.3%","±0.5"
"PERCENT IMPUTED","","","","","","","","","",""
"    Marital status","3.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","3.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
