"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months !!Number!!Estimate","United States!!Women with births in the past 12 months !!Number!!Margin of Error","United States!!Women with births in the past 12 months !!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","76,791,565","±32,109","3,997,394","±28,051","(X)","(X)","52","±1","33.7%","±0.5"
"15 to 19 years","10,493,304","±26,494","126,099","±6,418","3.2%","±0.2","12","±1","85.8%","±2.0"
"20 to 34 years","32,891,322","±25,484","2,904,603","±23,577","72.7%","±0.3","88","±1","36.1%","±0.6"
"35 to 50 years","33,406,939","±26,781","966,692","±15,858","24.2%","±0.3","29","±1","19.9%","±0.7"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"    One race","74,279,325","±43,867","3,874,709","±27,756","96.9%","±0.2","52","±1","33.4%","±0.5"
"        White","52,850,357","±46,151","2,709,612","±26,410","67.8%","±0.5","51","±1","27.9%","±0.5"
"        Black or African American","10,835,268","±30,116","592,963","±14,889","14.8%","±0.4","55","±1","62.7%","±1.3"
"        American Indian and Alaska Native","677,431","±13,727","41,786","±3,316","1.0%","±0.1","62","±5","61.1%","±3.4"
"        Asian","5,217,662","±18,732","269,849","±7,982","6.8%","±0.2","52","±2","10.5%","±1.1"
"        Native Hawaiian and Other Pacific Islander","164,998","±5,341","9,126","±1,579","0.2%","±0.1","55","±9","33.5%","±8.3"
"        Some other race","4,533,609","±41,984","251,373","±8,922","6.3%","±0.2","55","±2","43.4%","±2.1"
"    Two or more races","2,512,240","±29,859","122,685","±6,203","3.1%","±0.2","49","±2","45.2%","±2.5"
"Hispanic or Latino origin (of any race)","15,472,583","±15,872","878,666","±17,285","22.0%","±0.4","57","±1","40.8%","±1.0"
"White alone, not Hispanic or Latino","42,860,604","±21,721","2,136,880","±21,812","53.5%","±0.4","50","±1","24.9%","±0.5"
"NATIVITY","","","","","","","","","",""
"    Native","63,729,486","±64,790","3,199,281","±26,352","80.0%","±0.3","50","±1","36.8%","±0.6"
"    Foreign born","13,062,079","±61,513","798,113","±13,132","20.0%","±0.3","61","±1","21.3%","±0.9"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Less than high school graduate","12,771,839","±59,164","464,989","±13,057","11.6%","±0.3","36","±1","52.1%","±1.3"
"    High school graduate (includes equivalency)","16,155,823","±79,379","937,373","±16,560","23.4%","±0.4","58","±1","50.4%","±1.0"
"    Some college or associate's degree","24,386,124","±73,847","1,234,003","±19,127","30.9%","±0.4","51","±1","39.7%","±0.8"
"    Bachelor's degree","15,362,890","±71,863","841,544","±18,077","21.1%","±0.4","55","±1","12.8%","±0.7"
"    Graduate or professional degree","8,114,889","±51,628","519,485","±11,551","13.0%","±0.3","64","±1","7.1%","±0.7"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","75,028,851","±35,508","3,984,932","±28,588","(X)","(X)","53","±1","33.6%","±0.5"
"        Below 100 percent of poverty level","11,797,384","±76,437","894,924","±17,038","22.5%","±0.4","76","±1","66.2%","±0.9"
"        100 to 199 percent of poverty level","13,407,433","±81,212","825,721","±19,468","20.7%","±0.5","62","±1","40.3%","±1.0"
"        200 percent or more above poverty level","49,824,034","±106,138","2,264,287","±25,069","56.8%","±0.5","45","±1","18.2%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","74,762,948","±36,959","3,991,139","±28,082","(X)","(X)","53","±1","33.6%","±0.5"
"        In labor force","54,220,770","±72,577","2,533,860","±25,402","63.5%","±0.5","47","±1","34.9%","±0.6"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","76,791,565","±32,109","3,997,394","±28,051","(X)","(X)","52","±1","33.7%","±0.5"
"        Received public assistance income","1,505,636","±23,249","179,327","±7,485","4.5%","±0.2","119","±4","68.2%","±2.0"
"        Did not receive public assistance income","75,285,929","±38,193","3,818,067","±27,426","95.5%","±0.2","51","±1","32.1%","±0.5"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Marital status","6.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","8.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
