"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months !!Number!!Estimate","United States!!Women with births in the past 12 months !!Number!!Margin of Error","United States!!Women with births in the past 12 months !!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","76,129,362","±33,165","3,930,417","±35,888","(X)","(X)","52","±1","36.0%","±0.5"
"15 to 19 years","10,427,332","±26,999","198,055","±7,387","5.0%","±0.2","19","±1","86.1%","±1.3"
"20 to 34 years","32,185,659","±24,950","2,943,437","±32,524","74.9%","±0.4","91","±1","37.2%","±0.6"
"35 to 50 years","33,516,371","±28,098","788,925","±14,225","20.1%","±0.3","24","±1","19.1%","±0.7"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"    One race","73,948,140","±43,569","3,812,898","±34,983","97.0%","±0.1","52","±1","35.7%","±0.5"
"        White","53,688,480","±43,872","2,689,015","±30,721","68.4%","±0.4","50","±1","29.8%","±0.6"
"        Black or African American","10,729,458","±25,327","572,070","±13,588","14.6%","±0.3","53","±1","67.2%","±1.1"
"        American Indian and Alaska Native","643,369","±10,120","41,419","±2,579","1.1%","±0.1","64","±4","55.5%","±3.8"
"        Asian","4,633,277","±18,457","247,937","±7,592","6.3%","±0.2","54","±2","12.3%","±1.2"
"        Native Hawaiian and Other Pacific Islander","143,311","±5,211","8,954","±1,528","0.2%","±0.1","62","±10","43.4%","±9.1"
"        Some other race","4,110,245","±42,506","253,503","±9,126","6.4%","±0.2","62","±2","46.4%","±1.8"
"    Two or more races","2,181,222","±27,054","117,519","±5,635","3.0%","±0.1","54","±2","47.5%","±2.7"
"Hispanic or Latino origin (of any race)","14,328,898","±15,855","884,198","±17,244","22.5%","±0.4","62","±1","42.5%","±1.0"
"White alone, not Hispanic or Latino","44,328,454","±18,215","2,111,818","±26,302","53.7%","±0.4","48","±1","27.1%","±0.6"
"NATIVITY","","","","","","","","","",""
"    Native","63,522,595","±52,832","3,148,600","±32,986","80.1%","±0.4","50","±1","39.2%","±0.5"
"    Foreign born","12,606,767","±46,444","781,817","±15,636","19.9%","±0.4","62","±1","23.4%","±0.9"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Less than high school graduate","13,534,366","±51,327","580,393","±12,981","14.8%","±0.3","43","±1","57.8%","±1.1"
"    High school graduate (includes equivalency)","16,310,948","±61,882","909,010","±15,218","23.1%","±0.3","56","±1","50.0%","±0.9"
"    Some college or associate's degree","25,332,363","±76,797","1,250,510","±18,094","31.8%","±0.4","49","±1","40.8%","±0.8"
"    Bachelor's degree","14,077,128","±69,315","751,148","±15,500","19.1%","±0.3","53","±1","12.2%","±0.6"
"    Graduate or professional degree","6,874,557","±45,502","439,356","±10,846","11.2%","±0.3","64","±1","5.6%","±0.5"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","74,431,908","±36,969","3,918,982","±35,967","(X)","(X)","53","±1","35.9%","±0.5"
"        Below 100 percent of poverty level","14,055,535","±80,257","1,071,507","±17,299","27.3%","±0.4","76","±1","65.6%","±0.8"
"        100 to 199 percent of poverty level","14,137,931","±75,684","851,183","±14,629","21.7%","±0.3","60","±1","39.8%","±1.1"
"        200 percent or more above poverty level","46,238,442","±95,181","1,996,292","±26,701","50.9%","±0.4","43","±1","18.3%","±0.6"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","74,087,695","±35,738","3,919,739","±36,159","(X)","(X)","53","±1","35.9%","±0.5"
"        In labor force","53,009,725","±73,966","2,417,900","±28,569","61.7%","±0.4","46","±1","37.2%","±0.7"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","76,129,362","±33,165","3,930,417","±35,888","(X)","(X)","52","±1","36.0%","±0.5"
"        Received public assistance income","1,971,235","±22,183","243,376","±8,190","6.2%","±0.2","123","±4","70.4%","±1.5"
"        Did not receive public assistance income","74,158,127","±40,305","3,687,041","±34,300","93.8%","±0.2","50","±1","33.7%","±0.5"
"PERCENT IMPUTED","","","","","","","","","",""
"    Marital status","4.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","6.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
