"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months !!Number!!Estimate","United States!!Women with births in the past 12 months !!Number!!Margin of Error","United States!!Women with births in the past 12 months !!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","76,395,472","±30,699","3,946,228","±34,365","(X)","(X)","52","±1","35.8%","±0.5"
"15 to 19 years","10,406,203","±25,244","176,413","±6,694","4.5%","±0.2","17","±1","85.4%","±1.5"
"20 to 34 years","32,562,672","±24,990","2,961,304","±31,662","75.0%","±0.4","91","±1","37.1%","±0.5"
"35 to 50 years","33,426,597","±25,416","808,511","±13,770","20.5%","±0.3","24","±1","20.2%","±0.8"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"    One race","74,175,299","±42,349","3,828,094","±34,174","97.0%","±0.2","52","±1","35.5%","±0.5"
"        White","53,553,282","±35,771","2,691,122","±29,543","68.2%","±0.4","50","±1","29.9%","±0.5"
"        Black or African American","10,793,190","±23,095","577,974","±14,578","14.6%","±0.3","54","±1","66.2%","±1.1"
"        American Indian and Alaska Native","665,760","±11,449","41,352","±3,158","1.0%","±0.1","62","±5","58.0%","±3.8"
"        Asian","4,821,111","±14,790","249,371","±7,883","6.3%","±0.2","52","±2","12.3%","±1.1"
"        Native Hawaiian and Other Pacific Islander","159,373","±5,401","9,848","±1,698","0.2%","±0.1","62","±10","39.1%","±8.6"
"        Some other race","4,182,583","±36,058","258,427","±8,708","6.5%","±0.2","62","±2","43.9%","±1.6"
"    Two or more races","2,220,173","±28,699","118,134","±6,227","3.0%","±0.2","53","±3","44.6%","±2.3"
"Hispanic or Latino origin (of any race)","14,691,627","±15,326","891,425","±16,595","22.6%","±0.4","61","±1","42.6%","±0.9"
"White alone, not Hispanic or Latino","43,917,126","±19,431","2,111,959","±26,769","53.5%","±0.5","48","±1","26.9%","±0.5"
"NATIVITY","","","","","","","","","",""
"    Native","63,597,391","±59,066","3,163,759","±30,285","80.2%","±0.3","50","±1","38.9%","±0.5"
"    Foreign born","12,798,081","±56,579","782,469","±15,254","19.8%","±0.3","61","±1","23.3%","±0.9"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Less than high school graduate","13,338,769","±53,473","540,064","±12,361","13.7%","±0.3","40","±1","56.3%","±1.1"
"    High school graduate (includes equivalency)","16,320,119","±67,938","916,645","±15,468","23.2%","±0.3","56","±1","51.1%","±0.9"
"    Some college or associate's degree","25,276,790","±68,654","1,255,916","±18,934","31.8%","±0.4","50","±1","40.5%","±0.9"
"    Bachelor's degree","14,271,759","±66,940","784,023","±13,357","19.9%","±0.3","55","±1","12.8%","±0.7"
"    Graduate or professional degree","7,188,035","±43,207","449,580","±10,942","11.4%","±0.3","63","±1","6.6%","±0.6"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","74,678,642","±31,593","3,932,080","±33,717","(X)","(X)","53","±1","35.6%","±0.5"
"        Below 100 percent of poverty level","13,761,864","±72,832","1,056,455","±17,306","26.9%","±0.4","77","±1","66.1%","±0.7"
"        100 to 199 percent of poverty level","14,140,150","±76,984","844,057","±16,052","21.5%","±0.3","60","±1","39.0%","±0.9"
"        200 percent or more above poverty level","46,776,628","±96,213","2,031,568","±23,192","51.7%","±0.4","43","±1","18.3%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","74,357,783","±33,494","3,938,841","±34,365","(X)","(X)","53","±1","35.7%","±0.5"
"        In labor force","53,188,452","±61,304","2,435,563","±26,358","61.8%","±0.4","46","±1","37.0%","±0.6"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","76,395,472","±30,699","3,946,228","±34,365","(X)","(X)","52","±1","35.8%","±0.5"
"        Received public assistance income","1,840,665","±25,010","225,197","±8,211","5.7%","±0.2","122","±4","69.4%","±1.4"
"        Did not receive public assistance income","74,554,807","±36,108","3,721,031","±31,542","94.3%","±0.2","50","±1","33.7%","±0.5"
"PERCENT IMPUTED","","","","","","","","","",""
"    Marital status","5.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","7.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
