"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","77,984,030","±34,163","4,018,933","±41,679","(X)","(X)","52","±1","30.9%","±0.5"
"    15 to 19 years","10,803,918","±29,000","91,622","±6,397","2.3%","±0.2","8","±1","90.1%","±1.7"
"    20 to 34 years","32,953,842","±32,057","2,739,416","±33,340","68.2%","±0.5","83","±1","33.7%","±0.6"
"    35 to 50 years","34,226,270","±32,805","1,187,895","±22,675","29.6%","±0.5","35","±1","20.0%","±0.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","67,418,976","±72,661","3,488,983","±38,213","86.8%","±0.4","52","±1","29.9%","±0.5"
"            White","43,845,064","±47,363","2,234,568","±25,138","55.6%","±0.5","51","±1","23.1%","±0.6"
"            Black or African American","10,412,018","±40,282","542,734","±18,666","13.5%","±0.4","52","±2","59.7%","±1.6"
"            American Indian and Alaska Native","885,847","±15,300","48,181","±4,054","1.2%","±0.1","54","±5","48.5%","±4.2"
"            Asian","5,474,902","±18,190","273,719","±7,613","6.8%","±0.2","50","±1","10.8%","±1.2"
"            Native Hawaiian and Other Pacific Islander","175,499","±8,336","13,870","±2,515","0.3%","±0.1","79","±13","46.9%","±9.1"
"            Some other race","6,625,646","±47,771","375,911","±14,463","9.4%","±0.3","57","±2","38.0%","±1.7"
"        Two or more races","10,565,054","±66,636","529,950","±17,138","13.2%","±0.4","50","±2","37.8%","±1.3"
"        Hispanic or Latino origin (of any race)","17,080,042","±17,250","951,997","±19,925","23.7%","±0.4","56","±1","39.0%","±1.1"
"        White alone, not Hispanic or Latino","40,713,943","±24,765","2,045,542","±23,573","50.9%","±0.5","50","±1","21.8%","±0.6"
"    NATIVITY","","","","","","","","","",""
"        Native","65,192,113","±73,171","3,226,208","±38,835","80.3%","±0.5","49","±1","33.3%","±0.5"
"        Foreign born","12,791,917","±71,324","792,725","±20,010","19.7%","±0.5","62","±1","21.3%","±1.0"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Less than high school graduate","12,048,619","±50,506","388,797","±13,186","9.7%","±0.3","32","±1","48.9%","±1.7"
"        High school graduate (includes equivalency)","16,395,516","±82,296","947,931","±21,364","23.6%","±0.4","58","±1","47.9%","±1.1"
"        Some college or associate's degree","22,099,672","±79,271","1,114,946","±20,996","27.7%","±0.5","50","±1","37.7%","±0.9"
"        Bachelor's degree","17,299,782","±89,853","952,905","±17,540","23.7%","±0.4","55","±1","13.1%","±0.7"
"        Graduate or professional degree","10,140,441","±68,667","614,354","±14,647","15.3%","±0.3","61","±1","8.8%","±0.8"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","76,105,699","±37,107","4,008,825","±41,717","(X)","(X)","53","±1","30.8%","±0.5"
"        Below 100 percent of poverty level","10,771,711","±85,748","776,789","±15,975","19.4%","±0.3","72","±1","66.1%","±1.1"
"        100 to 199 percent of poverty level","12,181,392","±91,627","739,974","±18,335","18.5%","±0.4","61","±1","40.9%","±1.2"
"        200 percent or more above poverty level","53,152,596","±121,139","2,492,062","±30,209","62.2%","±0.5","47","±1","16.8%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","75,817,986","±36,617","4,013,432","±41,617","(X)","(X)","53","±1","30.8%","±0.5"
"        In labor force","57,022,433","±74,304","2,713,742","±35,407","67.6%","±0.5","48","±1","30.7%","±0.6"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","77,984,030","±34,163","4,018,933","±41,679","(X)","(X)","52","±1","30.9%","±0.5"
"        Received public assistance income","1,398,021","±23,449","147,608","±7,603","3.7%","±0.2","106","±5","66.0%","±2.3"
"        Did not receive public assistance income","76,586,009","±39,936","3,871,325","±41,334","96.3%","±0.2","51","±1","29.6%","±0.4"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Marital status","8.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","12.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
