"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","77,261,357","±36,187","3,922,188","±46,069","(X)","(X)","51","±1","31.7%","±0.5"
"    15 to 19 years","10,652,932","±26,378","87,906","±5,646","2.2%","±0.1","8","±1","87.4%","±2.4"
"    20 to 34 years","32,728,917","±26,025","2,739,957","±34,472","69.9%","±0.4","84","±1","34.2%","±0.6"
"    35 to 50 years","33,879,508","±29,767","1,094,325","±21,396","27.9%","±0.4","32","±1","20.8%","±0.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","66,922,068","±74,769","3,396,320","±40,395","86.6%","±0.4","51","±1","30.6%","±0.6"
"            White","43,958,152","±49,326","2,187,997","±29,180","55.8%","±0.5","50","±1","23.5%","±0.6"
"            Black or African American","10,323,090","±34,160","536,779","±17,859","13.7%","±0.4","52","±2","61.6%","±1.6"
"            American Indian and Alaska Native","825,331","±16,009","43,718","±3,813","1.1%","±0.1","53","±5","46.7%","±4.1"
"            Asian","5,282,830","±16,012","254,937","±9,445","6.5%","±0.2","48","±2","11.7%","±1.1"
"            Native Hawaiian and Other Pacific Islander","159,745","±5,841","10,904","±1,965","0.3%","±0.1","68","±12","39.2%","±8.3"
"            Some other race","6,372,920","±47,295","361,985","±11,903","9.2%","±0.3","57","±2","38.6%","±1.6"
"        Two or more races","10,339,289","±62,825","525,868","±16,559","13.4%","±0.4","51","±2","38.8%","±1.5"
"        Hispanic or Latino origin (of any race)","16,334,404","±17,566","914,387","±20,684","23.3%","±0.4","56","±1","39.2%","±1.1"
"        White alone, not Hispanic or Latino","41,171,444","±28,853","2,015,141","±28,058","51.4%","±0.5","49","±1","22.2%","±0.6"
"    NATIVITY","","","","","","","","","",""
"        Native","64,799,777","±70,729","3,150,010","±38,355","80.3%","±0.5","49","±1","34.4%","±0.6"
"        Foreign born","12,461,580","±58,176","772,178","±21,358","19.7%","±0.5","62","±2","20.4%","±0.9"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"        Less than high school graduate","12,108,084","±48,816","389,691","±14,671","9.9%","±0.3","32","±1","48.5%","±1.6"
"        High school graduate (includes equivalency)","16,138,616","±88,406","905,437","±18,519","23.1%","±0.4","56","±1","49.5%","±1.1"
"        Some college or associate's degree","22,721,468","±98,710","1,132,220","±20,887","28.9%","±0.4","50","±1","37.8%","±1.0"
"        Bachelor's degree","16,736,893","±71,510","911,823","±17,292","23.2%","±0.4","54","±1","14.3%","±0.8"
"        Graduate or professional degree","9,556,296","±59,478","583,017","±13,087","14.9%","±0.3","61","±1","8.1%","±0.7"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","75,490,387","±39,273","3,913,365","±46,006","(X)","(X)","52","±1","31.6%","±0.5"
"        Below 100 percent of poverty level","11,061,740","±79,435","793,011","±21,436","20.3%","±0.5","72","±2","65.8%","±1.1"
"        100 to 199 percent of poverty level","12,175,555","±92,727","725,562","±19,499","18.5%","±0.4","60","±2","41.2%","±1.1"
"        200 percent or more above poverty level","52,253,092","±115,398","2,394,792","±33,216","61.2%","±0.5","46","±1","17.3%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","",""
"    Women 16 to 50 years","75,150,686","±35,386","3,917,222","±45,732","(X)","(X)","52","±1","31.6%","±0.5"
"        In labor force","55,140,637","±75,086","2,603,108","±35,144","66.5%","±0.5","47","±1","31.5%","±0.6"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Women 15 to 50 years","77,261,357","±36,187","3,922,188","±46,069","(X)","(X)","51","±1","31.7%","±0.5"
"        Received public assistance income","1,883,398","±27,133","158,422","±8,710","4.0%","±0.2","84","±4","57.2%","±2.5"
"        Did not receive public assistance income","75,377,959","±42,209","3,763,766","±45,714","96.0%","±0.2","50","±1","30.6%","±0.5"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Marital status","8.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","12.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
